line_number,context,original_text_portuguese,category,priority,special_note,character_count
6715,error_card_reregister,Cartão precisa ser cadastrado novamente.,error message,alta,user-facing,41
6729,error_card_fetch_error,Erro ao buscar cartão. Cadastre novamente.,error message,alta,user-facing,44
6734,error_card_expired,Cartão salvo expirou. Cadastre novamente.,error message,alta,user-facing,44
6759,error_card_process_error,Erro ao processar cartão. Cadastre novamente.,error message,alta,user-facing,45
6873,error_card_reregister_sub,Cadastre o cartão novamente.,error message,alta,user-facing,26
6880,error_card_reregister_sub2,Cadastre o cartão novamente.,error message,alta,user-facing,26
6901,error_cvv_invalid,CVF inválido ou cartão expirado.,error message,alta,user-facing,38
6907,error_email_profile,Cadastre seu email no perfil antes de assinar.,error message,alta,user-facing,49
6910,error_cpf_profile,Cadastre seu CPF no perfil antes de assinar.,error message,alta,user-facing,47
7804,error_va_openai_key,OPENAI_API_KEY não configurada.,error message,alta,user-facing,31
7810,error_va_limit,Voce usou X/Y chamadas hoje. Volte amanha!,error message,alta,user-facing,39
7812,error_va_plus_required,Assine o Touch? Plus para usar o assistente AI.,error message,alta,user-facing,58
5916,error_prestador_fields,Preencha todos os campos.,error message,alta,user-facing,26
5935,error_nickname_required,Preencha o nickname.,error message,alta,user-facing,21
5937,error_nick_length_prestador,Nickname deve ter 2 a 20 caracteres.,error message,alta,user-facing,37
5938,error_nick_chars_prestador,Só letras números _ . -,error message,alta,user-facing,22
5940,error_nick_exists_prestador,Esse nickname já existe.,error message,alta,user-facing,27
5958,error_not_prestador,Usuário não é prestador.,error message,alta,user-facing,27
5966,error_oauth_missing_code,Erro na autorização.,error message,alta,user-facing,19
5968,error_user_not_found_oauth,Usuário não encontrado.,error message,alta,user-facing,24
6004,error_prestador_not_found,Não encontrado.,error message,alta,user-facing,14
4722,error_relation_expired,Relação expirada.,error message,alta,user-facing,16
4723,error_contact_type_invalid,Tipo inválido.,error message,alta,user-facing,14
4763,error_relation_not_found,Relação não encontrada.,error message,alta,user-facing,24
4766,error_users_not_found,Usuários não encontrados.,error message,alta,user-facing,24
4772,error_zodiac_unavailable,Signos não disponíveis.,error message,alta,user-facing,23
4611,error_event_not_found,Evento não encontrado.,error message,alta,user-facing,24
4612,error_event_ended,Evento encerrado.,error message,alta,user-facing,16
4628,error_event_not_found_2,Evento não encontrado.,error message,alta,user-facing,24
4644,error_not_in_event,Você não está neste evento.,error message,alta,user-facing,29
4652,error_person_not_in_event,Pessoa não encontrada neste evento.,error message,alta,user-facing,38
4655,error_target_missing,Informe targetId ou targetNickname.,error message,alta,user-facing,38
7990,error_va_openai_key_onb,OPENAI_API_KEY não configurada.,error message,alta,user-facing,31
7993,error_user_not_found_onb,Usuário não encontrado,error message,alta,user-facing,24
1054,event_magic_link_sent,[console] Magic link sent,success message,media,internal log,17
1177,event_account_unified,[json response] Account unified,success message,media,internal,16
1883,event_relation_created,[response] Relation created,success message,media,internal,16
6172,event_backup_created,Backup criado com sucesso.,success message,media,user-facing,28
7810,event_va_daily_limit_msg,Voce usou {used}/{limit} chamadas hoje. Volte amanha!,success message,media,user-facing,48
6050,payment_tip_description,Gorjeta Touch?,payment message,alta,dynamic,15
6063,payment_tip_label,Gorjeta para ,payment message,alta,dynamic,11
6074,payment_statement,TOUCH GORJETA,payment message,alta,required by MP,15
6819,payment_checkout_item,Gorjeta Touch?,payment message,alta,dynamic,15
6922,payment_subscription_desc,Assinatura mensal,payment message,alta,,17
6923,payment_statement_plus,TOUCH PLUS,payment message,alta,required by MP,11
6923,payment_statement_selo,TOUCH SELO,payment message,alta,required by MP,11
6968,subscription_plus_name,Touch? Plus,subscription message,media,,12
6972,subscription_plus_desc,Assinatura mensal Touch? Plus,subscription message,media,,30
6973_1,subscription_plus_benefit_1,Assistente de voz AI ilimitado,subscription message,media,,30
6973_2,subscription_plus_benefit_2,Selo de verificação incluso,subscription message,media,,25
6973_3,subscription_plus_benefit_3,Prioridade na constelação,subscription message,media,,26
6973_4,subscription_plus_benefit_4,Badge exclusivo Plus,subscription message,media,,20
6973_5,subscription_plus_benefit_5,Sem limites de conexões,subscription message,media,,24
6973_6,subscription_plus_benefit_6,Acesso antecipado a novidades,subscription message,media,,29
6973_7,subscription_plus_benefit_7,Liberar AI para amigos,subscription message,media,,21
6977,subscription_selo_name,Selo de Verificação,subscription message,media,,20
6981,subscription_selo_desc,Selo de verificação Touch?,subscription message,media,,25
6982_1,subscription_selo_benefit_1,Selo de verificação ✓,subscription message,media,,22
6982_2,subscription_selo_benefit_2,Perfil destacado,subscription message,media,,15
6982_3,subscription_selo_benefit_3,Credibilidade nas conexões,subscription message,media,,24
1945,touch_page_copy,quer dar um touch com você,quick phrase,media,,26
1947,touch_page_button,👆 TOUCH,quick phrase,media,,6
1950,touch_page_result,Vocês se tocaram! ✨,quick phrase,media,,24
1952,touch_page_duration,24h juntos a partir de agora,quick phrase,media,,29
1953,touch_page_cta_1,Baixe o app para a experiência completa,quick phrase,media,,41
1953,touch_page_cta_2,Abrir Touch?,quick phrase,media,,11
7839,va_session_resume,Você voltei! A gente tava falando sobre... continuamos?,voice agent,alta,conversational,52
7844,va_session_continuation,Você e ai! Da ultima vez a gente tava conversando... lembra?,voice agent,alta,conversational,54
7853,va_session_quick,Você voltou! Manda ai.,voice agent,alta,conversational,19
7977,onb_step_1,Oi! Eu sou a Touch sua assistente. Fecha essa telinha no X lá em cima que vou te mostrar como funciona!,voice agent,alta,onboarding,104
7978,onb_step_2,Essa é sua home! Vê o botão Touch no meio da tela? Clica nele!,voice agent,alta,onboarding,67
7979,onb_step_3,É simples! Encosta o celular no de outra pessoa e pronto — conexão feita!,voice agent,alta,onboarding,71
7980,onb_step_4,Muito bem! Agora é só apertar o Touch e começar a se conectar com as pessoas ao seu redor. Seja bem-vindo!,voice agent,alta,onboarding,108
